,scene,duration,section,start,"avoid"
0,s1,1,1,random,
1,s2,1,1,,
1,s3,1,1,,
1,s3.5,1,1,,
1,s4,1,1,random,
1,s5,1,1,,
2,s6,1,1,,
2,s7,1,1,,
2,s8,1,2,"ent goddess2_7467247711546430,ent goddess2_6440796674300028,ent goddess2_4175050655022295,ent goddess2_1426875286788213","ent goddess2_3365100344071777"
2,s9,2,2,,
1,s10,1,2,,
,s10.5,1,2,random,"ent goddess2_8821106089741122"
1,s11,1,2,,
1,s11.5,2,3,,
1,s12,0,4,,"cloud goddess4_4440,cloud goddess4_2889,cloud goddess4_4750"
1,s14,0,4,"cloud goddess5_4838463147429969,cloud goddess6_4864640377489058,cloud goddess6_7123655036959767",
6,s15,0,4,cloud goddess6_567044355280888,
6,s16,0,5,,
6,s19,0,5,,
7,s21,0,5,,
7,s22,0,5,random,
7,s23,0,5,,
8,s25,0,5,,"lightning godesss5_7400,lightning godesss5_2848"
8,s26,1,5,,
9,s28,2,6,random,"forest fire_1469"
9,s29,1,6,,
9,s31,3,7,,
9,s32,3,7,random,
9,s34,1,7,,
9,s35,0,8,"rain2_6478561803444227,rain2_479878843130033,rain4_761871848606958,rain3_3147637077315985",
9,s37,1,8,,
9,s39,1,8,,
9,s40,1,8,random,
9,s41,0,8,,
9,s42,1,8,,
